run,score
281,8333.107114721957
282,8819.946710435677
283,8245.239780659429
284,8542.992496217386
285,8600.25552381344
286,8243.894144605478
287,8274.765361661292
288,8314.400532324857
289,8547.717107438468
290,8269.288269907032
291,4068.735416532697
292,8272.977868497066
293,7895.971070342401
294,8159.514827693173
295,8670.534662956132
296,8563.145911455998
297,8476.106060310394
298,8236.066171516644
299,8756.105498292542
300,8390.06387863767
301,8070.646025550649
302,8559.063662042696
303,8512.069618599455
304,8664.497907414967
305,8518.88639679727
306,8651.605124966773
307,8630.252352724849
308,8459.360947893085
309,8624.842860548924
310,8586.688514285677
311,8562.322570758917
312,8600.260060872703
313,8502.104981782104
314,8490.06923244983
315,8106.133581579463
316,8508.699798927475
317,5629.368103109655
318,8725.333052527814
319,8655.211606554594
320,8521.918644864547
321,8433.429531042104
322,8492.981112826723
323,8432.083453778785
324,8420.628371496363
325,8235.285289685951
326,8770.177074527317
327,8613.63071540479
328,8535.75892964225
329,8370.33160159849
330,8278.703426398859
331,8416.485513609023
332,8152.794655547104
333,8628.016772577934
334,8634.06901855121
335,8456.917117100878
336,8116.957165219978
337,8506.624006756516
338,8541.330500419946
339,8633.41092974815
340,8244.570015881818
341,8241.355829756656
342,8676.49435472411
343,8537.133096194768
344,8303.306635713752
345,8283.052384846242
346,8086.660331090834
347,1209.8026297584877
348,8682.173033381234
349,8493.242305872143
350,8292.087946903343
351,8588.6004649147
352,8344.912882065706
353,8548.87388786339
354,8651.572868661693
355,8294.318650625173
356,8579.63405441847
357,8290.409892869451
358,4255.487558534555
359,8230.637373190066
360,8866.578834969108
361,8413.725474423993
362,8565.017218302895
363,8520.882411039685
364,8350.476384321571
365,8474.833298003337
366,8518.063920233268
367,8372.114762014058
368,8558.491444580375
369,8400.44938755937
370,8499.219414915864
371,8141.846883152637
372,8308.362527539934
373,8569.107213534777
374,8216.622495534612
375,8312.307771321428
376,8608.435295713402
377,8553.568149715104
378,8197.714881501239
379,8654.539884865171
380,8299.603869014325
381,8300.578840704247
382,8689.196605234498
383,8077.89317978212
384,8711.299899873135
385,7996.663743530124
386,8353.945499177526
387,8436.88645653899
388,8664.804120351355
389,8543.17000198824
390,8318.557995522628
391,8752.387735697597
392,8590.463577070506
393,8214.795763650498
394,8639.687811761509
395,8254.54033681249
396,8318.23966683837
397,8254.717642202571
398,8604.964735272208
399,8237.561610667128
400,8748.459123941568
401,8302.668768061461
402,8360.661420180399
403,8431.252656856243
404,8292.715900112813
405,8364.287466681053
406,8515.132865911015
407,8726.33442182364
408,8544.533013628734
409,8474.786009232332
410,8276.624456719253
411,8313.27631507183
412,8571.394136452547
413,8298.57808257754
414,8517.453917509414
415,8333.402375583455
416,8359.073615064604
417,8641.783061487127
418,8483.324097201978
419,8362.654866501849
420,8637.461711536263
421,8554.53373561725
422,8293.024808418262
423,8451.534519626033
424,8613.68383501285
425,8527.97219689932
426,8316.222901515177
427,8733.126771322854
428,8476.448949524218
429,8543.745464249168
430,8810.96210783566
431,8425.386469918434
432,8304.707744574915
433,8687.978887150352
434,8530.04252403679
435,8347.40900586136
436,8469.266102573674
437,8232.635178195902
438,8471.23796187097
439,8420.185186583061
440,8375.35249863862
441,8220.651598922967
442,8552.764486732827
443,8225.078170662142
444,8088.817888921219
445,8037.378209599952
446,8303.231083723686
447,8484.098546835665
448,8659.689206540334
449,8644.064299675716
450,8590.467620515343
451,8130.806548471728
452,8142.04606528114
453,8486.281969706419
454,8425.69725348357
455,8512.053887920503
456,8380.567419451052
457,8318.496833017443
458,8541.33885760125
459,8420.579005032076
460,8489.273166853796
461,8521.210059813851
462,8604.262989564133
463,8444.0413488852
464,8432.966436636134
465,8552.940714585939
466,8471.141490463448
467,8414.68763305135
468,1035.4829269152597
469,2670.5264126634474
470,8463.851921973532
471,8509.120078339603
472,8158.5549430236515
473,8578.383032669659
474,8495.253872179948
475,8435.09564794926
476,8483.984486886424
477,8429.290701661395
478,8476.520704352166
479,7976.571762321242
480,8558.892350257482
481,8313.771644726628
482,8430.90468267485
483,2934.7197007095133
484,8496.371413137316
485,8606.990144006144
486,6124.647486840499
487,8763.623412574678
488,8330.085917331577
489,8276.01050458105
490,8535.251215911612
491,8172.307753282071
492,8439.672542460685
493,8442.921544450186
494,8438.4270322954
495,8500.461112656869
496,7944.854505545921
497,8448.66380268675
498,8430.794697861491
499,8290.706252573349
500,8403.363502725446
501,8316.826678730877
502,8602.024138123594
503,8300.042967859277
504,8370.149003841047
